index,name,description,group,unit
249,NucDis_P1_m2-EC,distance between P1 nucleus and the embryonic center at the midpoint of interphase of both AB and P1,2 cell,mm
250,NucPos_ABa_ap_m4,AP position of ABa nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
251,NucPos_ABa_dv_m4,DV position of ABa nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
252,NucPos_ABa_lr_m4,LR position of ABa nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
253,NucPos_ABa_m4-EC,distance between ABa nucleus and the embryonic center at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
254,NucPos_ABp_ap_m4,AP position of ABp nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
255,NucPos_ABp_dv_m4,DV position of ABp nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
256,NucPos_ABp_lr_m4,LR position of ABp nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
257,NucDis_ABp_m4-EC,distance between ABp nucleus and the embryonic center at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
258,NucPos_EMS_ap_m4,AP position of EMS nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
259,NucPos_EMS_dv_m4,DV position of EMS nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
260,NucDis_EMS_m4-EC,distance between EMS nucleus and the embryonic center at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
261,NucPos_P2_ap_m4,AP position of P2 nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
262,NucPos_P2_dv_m4,DV position of P2 nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
263,NucPos_P2_lr_m4,LR position of P2 nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
264,NucDis_P2_m4-EC,distance between P2 nucleus and the embryonic center at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
265,NucPos_P0_ap_l,AP position of P0 nucleus at the last time point of interphase,1 cell,mm
266,NucPos_P0_dv_l,DV position of P0 nucleus at the last time point of interphase,1 cell,mm
267,NucPos_P0_lr_l,LR position of P0 nucleus at the last time point of interphase,1 cell,mm
268,NucPos_P0_l-EC,distance between P0 nucleus and the embryonic center at the last time point of interphase,1 cell,mm
269,NucPos_AB_ap_l,AP position of AB nucleus at the last time point of interphase,2 cell,mm
270,NucPos_AB_dv_l,DV position of AB nucleus at the last time point of interphase,2 cell,mm
271,NucPos_AB_lr_l,LR position of AB nucleus at the last time point of interphase,2 cell,mm
272,NucDis_AB_l-EC,distance between AB nucleus and the embryonic center at the last time point of interphase,2 cell,mm
273,NucPos_P1_ap_l,AP position of P1 nucleus at the last time point of interphase,2 cell,mm
274,NucPos_P1_dv_l,DV position of P1 nucleus at the last time point of interphase,2 cell,mm
275,NucPos_P1_lr_l,LR position of P1 nucleus at the last time point of interphase,2 cell,mm
276,NucDis_P1_l-EC,distance between P1 nucleus and the embryonic center at the last time point of interphase,2 cell,mm
277,NucPos_ABa_ap_l,AP position of ABa nucleus at the last time point of interphase,4 cell,mm
278,NucPos_ABa_dv_l,DV position of ABa nucleus at the last time point of interphase,4 cell,mm
279,NucPos_ABa_lr_l,LR position of ABa nucleus at the last time point of interphase,4 cell,mm
280,NucDis_ABa_l-EC,distance between ABa nucleus and the embryonic center at the last time point of interphase,4 cell,mm
281,NucPos_ABp_ap_l,AP position of ABp nucleus at the last time point of interphase,4 cell,mm
282,NucPos_ABp_dv_l,DV position of ABp nucleus at the last time point of interphase,4 cell,mm
283,NucPos_ABp_lr_l,LR position of ABp nucleus at the last time point of interphase,4 cell,mm
284,NucDis_ABp_l-EC,distance between ABp nucleus and the embryonic center at the last time point of interphase,4 cell,mm
285,NucPos_EMS_ap_l,AP position of EMS nucleus at the last time point of interphase,4 cell,mm
286,NucPos_EMS_dv_l,DV position of EMS nucleus at the last time point of interphase,4 cell,mm
287,NucDis_EMS_l-EC,distance between EMS nucleus and the embryonic center at the last time point of interphase,4 cell,mm
288,NucPos_P2_ap_l,AP position of P2 nucleus at the last time point of interphase,4 cell,mm
289,NucPos_P2_dv_l,DV position of P2 nucleus at the last time point of interphase,4 cell,mm
290,NucPos_P2_lr_l,LR position of P2 nucleus at the last time point of interphase,4 cell,mm
291,NucDis_P2_l-EC,distance between P2 nucleus and the embryonic center at the last time point of interphase,4 cell,mm
292,NucDis_wt_AB_f,distance between AB nucleus and mean position of AB nucleus of wt embryos at the first time point of interphase,2 cell,mm
293,NucDis_wt_P1_f,distance between P1 nucleus and mean position of P1 nucleus of wt embryos at the first time point of interphase,2 cell,mm
294,NucDis_wt_ABa_f,distance between ABa nucleus and mean position of ABa nucleus of wt embryos at the first time point of interphase,4 cell,mm
295,NucDis_wt_ABp_f,distance between ABp nucleus and mean position of ABp nucleus of wt embryos at the first time point of interphase,4 cell,mm
296,NucDis_wt_EMS_f,distance between EMS nucleus and mean position of EMS nucleus of wt embryos at the first time point of interphase,4 cell,mm
297,NucDis_wt_P2_f,distance between P2 nucleus and mean position of P2 nucleus of wt embryos at the first time point of interphase,4 cell,mm
298,NucDis_wt_ABal_f,distance between ABal nucleus and mean position of ABal nucleus of wt embryos at the first time point of interphase,8 cell,mm
299,NucDis_wt_ABar_f,distance between ABar nucleus and mean position of ABar nucleus of wt embryos at the first time point of interphase,8 cell,mm
300,NucDis_wt_ABpl_f,distance between ABpl nucleus and mean position of ABpl nucleus of wt embryos at the first time point of interphase,8 cell,mm
301,NucDis_wt_ABpr_f,distance between ABpr nucleus and mean position of ABpr nucleus of wt embryos at the first time point of interphase,8 cell,mm
302,NucDis_wt_E_f,distance between E nucleus and mean position of E nucleus of wt embryos at the first time point of interphase,8 cell,mm
303,NucDis_wt_MS_f,distance between MS nucleus and mean position of MS nucleus of wt embryos at the first time point of interphase,8 cell,mm
304,NucDis_wt_C_f,distance between C nucleus and mean position of C nucleus of wt embryos at the first time point of interphase,8 cell,mm
305,NucDis_wt_P3_f,distance between P3 nucleus and mean position of P3 nucleus of wt embryos at the first time point of interphase,8 cell,mm
306,NucDis_wt_AB_m,distance between AB nucleus and mean position of AB nucleus of wt embryos at the midpoint of interphase,2 cell,mm
307,NucDis_wt_P1_m,distance between P1 nucleus and mean position of P1 nucleus of wt embryos at the midpoint of interphase,2 cell,mm
308,NucDis_wt_ABa_m,distance between ABa nucleus and mean position of ABa nucleus of wt embryos at the midpoint of interphase,4 cell,mm
309,NucDis_wt_ABp_m,distance between ABp nucleus and mean position of ABp nucleus of wt embryos at the midpoint of interphase,4 cell,mm
310,NucDis_wt_EMS_m,distance between EMS nucleus and mean position of EMS nucleus of wt embryos at the midpoint of interphase,4 cell,mm
311,NucDis_wt_P2_m,distance between P2 nuclues and mean position of P2 nuelcus of wt embryos at the midpoint of interphase,4 cell,mm
312,NucDis_wt_AB_m2,distance between AB nucleus and mean position of AB nucleus of wt embryos at the midpoint of interphase of both AB and P1,2 cell,mm
313,NucDis_wt_P1_m2,distance between P1 nucleus and mean position of P1 nucleus of wt embryos at the midpoint of interphase of both AB and P1,2 cell,mm
314,NucDis_wt_ABa_m4,distance between ABa nucleus and mean position of ABa nucleus of wt embryos at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
315,NucDis_wt_ABp_m4,distance between ABp nucleus and mean position of ABp nucleus of wt embryos at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
316,NucDis_wt_EMS_m4,distance between EMS nucleus and mean position of EMS nucleus of wt embryos at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
317,NucDis_wt_P2_m4,distance between P2 nucleus and mean position of P2 nucleus of wt embryos at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
318,NucDis_wt_P0_l,distance between P0 nucleus and mean position of P0 nucleus of wt embryos at the last time point of interphase,1 cell,mm
319,NucDis_wt_AB_l,distance between AB nucleus and mean position of AB nucleus of wt embryos at the last time point of interphase,2 cell,mm
320,NucDis_wt_P1_l,distance between P1 nucleus and mean position of P1 nucleus of wt embryos at the last time point of interphase,2 cell,mm
321,NucDis_wt_ABa_l,distance between ABa nucleus and mean position of ABa nucleus of wt embryos at the last time point of interphase,4 cell,mm
322,NucDis_wt_ABp_l,distance between ABp nucleus and mean position of ABp nucleus of wt embryos at the last time point of interphase,4 cell,mm
323,NucDis_wt_EMS_l,distance between EMS nucleus and mean position of EMS nucleus of wt embryos at the last time point of interphase,4 cell,mm
324,NucDis_wt_P2_l,distance between P2 nucleus and mean position of P2 nucleus of wt embryos at the last time point of interphase,4 cell,mm
325,NucPos_P0_ap_cent,minimum AP position of P0 nucleus during interphase,1-2 cell,mm
326,NucPos_P0_dv_cent,minimum DV position of P0 nucleus during interphase,1-2 cell,mm
327,NucPos_P0_lr_cent,minimum LR position of P0 nucleus during interphase,1-2 cell,mm
328,NucDis_P0_cent-EC,minimum distance between P0 nucleus and the embryonic center,1-2 cell,mm
329,NucAng_ABp-ABa-P2,"angle between ABp, ABa, and P2 nucleus",4 cell,?
330,NucAng_EMS-ABa-P2,"angle between EMS, ABa, and P2 nucleus",4 cell,?
331,NucAng_ABp-ABa-EMS,"angle between ABp, ABa, and EMS nucleus",4 cell,?
332,NucAng_ABa-ABp-EMS,"angle between ABa, ABp, and EMS nucleus",4 cell,?
333,NucAng_P2-ABp-EMS,"angle between P2, ABp, and EMS nucleus",4 cell,?
334,NucAng_ABa-ABp-P2,"angle between ABa, ABp, and P2 nucleus",4 cell,?
335,NucAng_ABp-P2-ABa,"angle between ABp, P2, and ABa nucleus",4 cell,?
336,NucAng_EMS-P2-ABa,"angle between EMS, P2, and ABa nucleus",4 cell,?
337,NucAng_ABp-P2-EMS,"angle between ABp, P2, and EMS nucleus",4 cell,?
338,NucAng_ABa-EMS-ABp,"angle between ABa, EMS, and ABp nucleus",4 cell,?
339,NucAng_ABp-EMS-P2,"angle between ABp, EMS, and P2 nucleus",4 cell,?
340,NucAng_ABa-EMS-P2,"angle between ABa, EMS, and P2 nucleus",4 cell,?
341,DivTime_AB_P1_f,difference of division timing of AB and P1 at the first time point of mitotic phase,2 cell-4 cell,time point
342,DivTime_ABa_ABp_f,difference of division timing of ABa and ABp at the first time point of mitotic phase,4 cell-8 cell,time point
343,DivTime_ABa_EMS_f,difference of division timing of ABa and EMS at the first time point of mitotic phase,4 cell-8 cell,time point
344,DivTime_ABp_EMS_f,difference of division timing of ABp and EMS at the first time point of mitotic phase,4 cell-8 cell,time point
345,DivTime_EMS_P2_f,difference of division timing of EMS and P2 at the first time point of mitotic phase,4 cell-8 cell,time point
346,DivTime_AB_P1_l,difference of division timing of AB and P1 at the last time point of mitotic phase,2 cell-4 cell,time point
347,DivTime_ABa_ABp_l,difference of division timing of ABa and ABp at the last time point of mitotic phase,4 cell-8 cell,time point
348,DivTime_ABa_EMS_l,difference of division timing of ABa and EMS at the last time point of mitotic phase,4 cell-8 cell,time point
349,DivTime_ABp_EMS_l,difference of division timing of ABp and EMS at the last time point of mitotic phase,4 cell-8 cell,time point
350,DivTime_EMS_P2_l,difference of division timing of EMS and P2 at the last time point of mitotic phase,4 cell-8 cell,time point
351,NucDis_AB-P1_mean,mean distance between AB and P1 nucleus during interphase of both AB and P1,2 cell,mm
352,DivTime_AB-ABa/p_f,difference of division timing of P0 at the first time point of mitotic phase and timing at the first time point of interphase of both ABa and ABp,4 cell-8 cell,time point
353,NucDis_ABa-ABp_mean,mean distance between ABa and ABp nucleus during interphase of both ABa and ABp,4 cell,mm
354,NucDis_EMS-P2_mean,mean distance between EMS and P2 nucleus during interphase of both EMS and P2,4 cell,mm
355,NucMov_AB_f-AB_8min,movement distance of AB nucleus during the first 12 time points of interphase,2 cell,mm
356,NucMov_AB_f-AB_l,movement distance of AB nucleus during interphase,2 cell,mm
357,NucMov_P1_f-P1_8min,movement distance of P1 nucleus during the first 12 time points of interphase,2 cell,mm
358,NucMov_P1_f-P1_l,movement distance of P1 nucleus during interphase,2 cell,mm
359,NucAng_ABa_P2,"angle between plane passing through ABa, EMS, and P2 nucleus and plane passing through ABa, ABp, and P2 nucleus",4 cell,?
360,NucAng_ABp_EMS,"angle between plane passing through ABa, ABp, and EMS nucleus and plane passing through ABp, EMS, and P2 nucleus",4 cell,?
361,NucPos_P1_ap_divAB,AP position of P1 nucleus at the first time point of mitotic phase of AB,2 cell-4 cell,mm
362,NucPos_P1_dv_divAB,DV position of P1 nucleus at the first time point of mitotic phase of AB,2 cell-4 cell,mm
363,NucPos_P1_lr_divAB,LR position of P1 nucleus at the first time point of mitotic phase of AB,2 cell-4 cell,mm
364,NucDis_P1_divAB-EC,distance between P1 nucleus and the embryonic center at the first time point of mitotic phase of AB,2 cell-4 cell,mm
365,NucPos_EMS_ap_divABa,AP position of EMS nucleus at the first time point of mitotic phase of ABa,4 cell-8 cell,mm
366,NucPos_EMS_dv_divABa,DV position of EMS nucleus at the first time point of mitotic phase of ABa,4 cell-8 cell,mm
367,NucDis_EMS_divABa-EC,distance between EMS nucleus and the embryonic center at the first time point of mitotic phase of ABa,4 cell-8 cell,mm
368,NucPos_P2_ap_divABa,AP position of P2 nucleus at the first time point of mitotic phase of ABa,4 cell-8 cell,mm
369,NucPos_P2_dv_divABa,DV position of P2 nucleus at the first time point of mitotic phase of ABa,4 cell-8 cell,mm
370,NucPos_P2_lr_divABa,LR position of P2 nucleus at the first time point of mitotic phase of ABa,4 cell-8 cell,mm
371,NucDis_P2_divABa-EC,distance between P2 nucleus and the embryonic center at the first time point of mitotic phase of ABa,4 cell-8 cell,mm
372,NucPos_EMS_ap_divABp,AP position of EMS nucleus at the first time point of mitotic phase of ABp,4 cell-8 cell,mm
373,NucPos_EMS_dv_divABp,DV position of EMS nucleus at the first time point of mitotic phase of ABp,4 cell-8 cell,mm
374,NucDis_EMS_divABp-EC,distance between EMS nucleus and the embryonic center at the first time point of mitotic phase of ABp,4 cell-8 cell,mm
375,NucPos_P2_ap_divABp,AP position of P2 nucleus at the first time point of mitotic phase of ABp,4 cell-8 cell,mm
376,NucPos_P2_dv_divABp,DV position of P2 nucleus at the first time point of mitotic phase of ABp,4 cell-8 cell,mm
377,NucPos_P2_lr_divABp,LR position of P2 nucleus at the first time point of mitotic phase of ABp,4 cell-8 cell,mm
378,NucDis_P2_divABp-EC,distance between P2 nucleus and the embryonic center at the first time point of mitotic phase of ABp,4 cell-8 cell,mm
379,NucPos_ABal_ap_divEMS,AP position of ABal nucleus at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
380,NucPos_ABal_dv_divEMS,DV position of ABal nucleus at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
381,NucPos_ABal_lr_divEMS,LR position of ABal nucleus at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
382,NucDis_ABal_divEMS-EC,distance between ABal nucleus and the embryonic center at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
383,NucPos_ABar_ap_divEMS,AP position of ABar nucleus at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
384,NucPos_ABar_dv_divEMS,DV position of ABar nucleus at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
385,NucPos_ABar_lr_divEMS,LR position of ABar nucleus at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
386,NucDis_ABar_divEMS-EC,distance between ABar nucleus and the embryonic center at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
387,NucPos_ABpl_ap_divEMS,AP position of ABpl nucleus at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
388,NucPos_ABpl_dv_divEMS,DV position of ABpl nucleus at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
389,NucPos_ABpl_lr_divEMS,LR position of ABpl nucleus at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
390,NucDis_ABpl_divEMS-EC,distance between ABpl nucleus and the embryonic center at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
391,NucPos_ABpr_ap_divEMS,AP position of ABpr nucleus at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
392,NucPos_ABpr_dv_divEMS,DV position of ABpr nucleus at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
393,NucPos_ABpr_lr_divEMS,LR position of ABpr nucleus at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
394,NucDis_ABpr_divEMS-EC,distance between ABpr nucleus and the embryonic center at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
395,NucPos_P2_ap_divEMS,AP position of P2 nucleus at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
396,NucPos_P2_dv_divEMS,DV position of P2 nucleus at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
397,NucPos_P2_lr_divEMS,LR position of P2 nucleus at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
398,NucDis_P2_divEMS-EC,distance between P2 nucleus and the embryonic center at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
399,NucPos_ABal_ap_divP2,AP position of ABal nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
400,NucPos_ABal_dv_divP2,DV position of ABal nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
401,NucPos_ABal_lr_divP2,LR position of ABal nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
402,NucDis_ABal_divP2-EC,distance between ABal nucleus and the embryonic center at the first time point of mitotic phase of P2,4 cell-8 cell,mm
403,NucPos_ABar_ap_divP2,AP position of ABar nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
404,NucPos_ABar_dv_divP2,DV position of ABar nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
405,NucPos_ABar_lr_divP2,LR position of ABar nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
406,NucDis_ABar_divP2-EC,distance between ABar nucleus and the embryonic center at the first time point of mitotic phase of P2,4 cell-8 cell,mm
407,NucPos_ABpl_ap_divP2,AP position of ABpl nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
408,NucPos_ABpl_dv_divP2,DV position of ABpl nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
409,NucPos_ABpl_lr_divP2,LR position of ABpl nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
410,NucDis_ABpl_divP2-EC,distance between ABpl nucleus and the embryonic center at the first time point of mitotic phase of P2,4 cell-8 cell,mm
411,NucPos_ABpr_ap_divP2,AP position of ABpr nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
412,NucPos_ABpr_dv_divP2,DV position of ABpr nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
413,NucPos_ABpr_lr_divP2,LR position of ABpr nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
414,NucDis_ABpr_divP2-EC,distance between ABpr nucleus and the embryonic center at the first time point of mitotic phase of P2,4 cell-8 cell,mm
415,NucPos_MS_ap_divP2,AP position of MS nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
416,NucPos_MS_dv_divP2,DV position of MS nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
417,NucPos_MS_lr_divP2,LR position of MS nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
418,NucDis_MS_divP2-EC,distance between MS nucleus and the embryonic center at the first time point of mitotic phase of P2,4 cell-8 cell,mm
419,NucPos_E_ap_divP2,AP position of E nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
420,NucPos_E_dv_divP2,DV position of E nucleus at the first time point of mitotic phase of P2,4 cell-8 cell,mm
421,NucPos_E_divP2-EC,distance between E nucleus and the embryonic center at the first time point of mitotic phase of P2,4 cell-8 cell,mm
422,NucDis_wt_P1_divAB,distance between P1 nucleus and mean position of P1 nucleus of wt embryos at the first time point of mitotic phase of AB,2 cell-4 cell,mm
423,NucDis_wt_EMS_divABa,distance between EMS nucleus and mean position of EMS nucleus of wt embryos at the first time point of mitotic phase of ABa,4 cell-8 cell,mm
424,NucDis_wt_P2_divABa,distance between P2 nucleus and mean position of P2 nucleus of wt embryos at the first time point of mitotic phase of ABa,4 cell-8 cell,mm
425,NucDis_wt_EMS_divABp,distance between EMS nucleus and mean position of EMS nucleus of wt embryos at the first time point of mitotic phase of ABp,4 cell-8 cell,mm
426,NucDis_wt_P2_divABp,distance between P2 nucleus and mean position of P2 nucleus of wt embryos at the first time point of mitotic phase of ABp,4 cell-8 cell,mm
427,NucDis_wt_ABal_divEMS,distance between ABal nucleus and mean position of ABal nucleus of wt embryos at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
428,NucDis_wt_ABar_divEMS,distance between ABar nucleus and mean position of ABar nucleus of wt embryos at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
429,NucDis_wt_ABpl_divEMS,distance between ABpl nucleus and mean position of ABpl nucleus of wt embryos at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
430,NucDis_wt_ABpr_divEMS,distance between ABpr nucleus and mean position of ABpr nucleus of wt embryos at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
431,NucDis_wt_P2_divEMS,distance between P2 nucleus and mean position of P2 nucleus of wt embryos at the first time point of mitotic phase of EMS,4 cell-8 cell,mm
432,NucDis_wt_ABal_divP2,distance between ABal nucleus and mean position of ABal nucleus of wt embryos at the first time point of mitotic phase of P2,4 cell-8 cell,mm
433,NucDis_wt_ABar_divP2,distance between ABar nucleus and mean position of ABar nucleus of wt embryos at the first time point of mitotic phase of P2,4 cell-8 cell,mm
434,NucDis_wt_ABpl_divP2,distance between ABpl nucleus and mean position of ABpl nucleus of wt embryos at the first time point of mitotic phase of P2,4 cell-8 cell,mm
435,NucDis_wt_ABpr_divP2,distance between ABpr nucleus and mean position of ABpr nucleus of wt embryos at the first time point of mitotic phase of P2,4 cell-8 cell,mm
436,NucDis_wt_MS_divP2,distance between MS nucleus and mean position of MS nucleus of wt embryos at the first time point of mitotic phase of P2,4 cell-8 cell,mm
437,NucDis_wt_E_divP2,distance between E nucleus and mean position of E nucleus of wt embryos at the first time point of mitotic phase of P2,4 cell-8 cell,mm
